timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,datetime_utc
1616155200000,58831.34,59249.5,58718.57,58849.99,2998.893405,1616158799999,176968100.07543716,116170,1509.39615600,89072512.02173588,0,2021-03-19 12:00:00+00:00
1616158800000,58849.99,58884.0,58057.04,58280.0,3297.065437,1616162399999,192659656.79324941,107817,1628.43476900,95162627.69846460,0,2021-03-19 13:00:00+00:00
1616162400000,58279.99,58786.03,57950.59,58729.99,2375.168031,1616165999999,138727999.56583795,90305,1063.17486400,62097776.87239500,0,2021-03-19 14:00:00+00:00
1616166000000,58729.98,59164.86,58500.0,58971.5,2704.905375,1616169599999,159309454.29883239,76398,1378.13950700,81176226.94425808,0,2021-03-19 15:00:00+00:00
1616169600000,58977.04,59180.0,58610.56,58859.79,2724.409211,1616173199999,160457239.10271708,81048,1284.64922300,75662984.31666912,0,2021-03-19 16:00:00+00:00
1616173200000,58857.51,58976.47,58625.0,58864.3,1451.313981,1616176799999,85356895.91241080,57905,707.29487800,41600812.02682967,0,2021-03-19 17:00:00+00:00
1616176800000,58865.57,58956.0,58345.14,58800.0,1683.611903,1616180399999,98818631.87480621,80113,818.89689700,48066970.89750706,0,2021-03-19 18:00:00+00:00
1616180400000,58800.0,58970.6,58643.99,58826.56,1456.446763,1616183999999,85633513.74350445,89411,696.73233000,40966148.44637518,0,2021-03-19 19:00:00+00:00
1616184000000,58826.56,59468.0,58101.92,58372.4,3962.118935,1616187599999,232999139.19975382,122541,2161.95202000,127191965.26271928,0,2021-03-19 20:00:00+00:00
1616187600000,58372.41,58755.15,58299.08,58648.78,1105.409387,1616191199999,64737463.55670261,67783,521.25318200,30529585.70503679,0,2021-03-19 21:00:00+00:00
1616191200000,58648.78,58648.78,58283.94,58501.56,972.230179,1616194799999,56836165.13578407,43768,450.74137100,26347224.81248144,0,2021-03-19 22:00:00+00:00
1616194800000,58501.55,58550.61,58000.0,58030.01,1627.339669,1616198399999,94710585.73079219,53218,780.72023500,45446600.17880425,0,2021-03-19 23:00:00+00:00
1616198400000,58030.01,58677.52,57820.17,58639.33,2400.214781,1616201999999,139775135.61008880,117250,1347.97935500,78500967.45701455,0,2021-03-20 00:00:00+00:00
1616202000000,58639.33,58879.18,58482.57,58724.01,1418.756106,1616205599999,83213022.25642246,101473,722.87817700,42402789.32659511,0,2021-03-20 01:00:00+00:00
1616205600000,58724.02,58913.98,58416.16,58549.33,1292.836586,1616209199999,75847128.67752989,69251,619.03400700,36318989.33848892,0,2021-03-20 02:00:00+00:00
1616209200000,58549.33,58581.62,58179.05,58367.74,1369.405141,1616212799999,79937434.71747051,46038,591.44081400,34524792.40265906,0,2021-03-20 03:00:00+00:00
1616212800000,58367.75,58606.63,58153.28,58209.83,1090.348211,1616216399999,63662122.44935170,43737,526.13731800,30719558.56332919,0,2021-03-20 04:00:00+00:00
1616216400000,58209.83,58362.11,58050.0,58131.57,1005.929849,1616219999999,58567178.12265729,39647,465.76256300,27119534.26410283,0,2021-03-20 05:00:00+00:00
1616220000000,58131.57,58373.46,57980.0,58344.3,1229.536038,1616223599999,71624722.72447132,44474,575.16413900,33509550.96012928,0,2021-03-20 06:00:00+00:00
1616223600000,58344.3,58536.84,58268.0,58402.41,1346.293944,1616227199999,78602838.71808992,50903,630.86528300,36832154.86072246,0,2021-03-20 07:00:00+00:00
1616227200000,58402.41,58798.6,58402.4,58671.46,2269.326664,1616230799999,133160868.73101746,84561,1187.39108200,69673923.44977065,0,2021-03-20 08:00:00+00:00
1616230800000,58671.45,58899.0,58577.55,58780.02,1730.987159,1616234399999,101687855.91921922,68464,980.32261400,57593022.15701652,0,2021-03-20 09:00:00+00:00
1616234400000,58780.03,58908.26,58577.0,58687.97,1237.611788,1616237999999,72708435.82915073,48073,611.82429800,35947362.69142132,0,2021-03-20 10:00:00+00:00
1616238000000,58685.98,59299.0,58626.27,59242.47,2563.593536,1616241599999,151265724.30349677,83862,1402.49375900,82758094.51402984,0,2021-03-20 11:00:00+00:00
1616241600000,59242.91,59325.6,58756.41,59144.54,1890.878779,1616245199999,111643256.77481865,89613,951.30027100,56166468.01419311,0,2021-03-20 12:00:00+00:00
1616245200000,59144.54,59880.0,58610.62,59033.13,4616.41624,1616248799999,274375295.41173724,144830,2437.66477000,144919181.18357401,0,2021-03-20 13:00:00+00:00
1616248800000,59027.95,59368.75,58755.3,59365.02,2675.669073,1616252399999,158134357.72929599,90798,1349.33902900,79747356.17011844,0,2021-03-20 14:00:00+00:00
1616252400000,59365.02,59722.0,59030.23,59244.52,2360.947068,1616255999999,140261533.88830589,99599,1167.31284200,69353759.96468136,0,2021-03-20 15:00:00+00:00
1616256000000,59244.51,59300.0,58901.66,59031.13,2191.019101,1616259599999,129425314.87936093,106206,1081.41617800,63877039.82319377,0,2021-03-20 16:00:00+00:00
1616259600000,59032.02,59297.0,59019.0,59138.44,1417.884867,1616263199999,83895162.59915379,56570,704.21017900,41666608.98425554,0,2021-03-20 17:00:00+00:00
1616263200000,59138.43,59474.89,59104.28,59173.03,1437.476965,1616266799999,85219757.78372868,51039,729.13193800,43227766.82794822,0,2021-03-20 18:00:00+00:00
1616266800000,59173.03,59424.73,59134.89,59272.82,1012.055066,1616270399999,59990429.45451150,43892,493.90540200,29275388.50818034,0,2021-03-20 19:00:00+00:00
1616270400000,59272.83,59381.7,58131.55,58519.84,3576.514684,1616273999999,209782761.79146679,93892,1574.40247100,92363981.56180753,0,2021-03-20 20:00:00+00:00
1616274000000,58519.77,58782.77,58371.01,58728.76,935.90892,1616277599999,54866148.76920476,48358,464.09406300,27208066.08540614,0,2021-03-20 21:00:00+00:00
1616277600000,58728.75,58800.0,58370.65,58503.01,1162.196427,1616281199999,68105272.24163728,44509,552.25397300,32361495.99054868,0,2021-03-20 22:00:00+00:00
1616281200000,58503.01,58525.96,57966.85,58102.28,2245.134783,1616284799999,130783333.66939774,57092,1046.12219800,60956140.02425656,0,2021-03-20 23:00:00+00:00
1616284800000,58100.02,58589.1,57811.41,58331.43,2342.929801,1616288399999,136538084.48522659,69680,1071.69380000,62463637.34090045,0,2021-03-21 00:00:00+00:00
1616288400000,58331.42,58463.99,58091.02,58180.0,953.47411,1616291999999,55562369.53512714,41963,471.57221500,27483461.87584013,0,2021-03-21 01:00:00+00:00
1616292000000,58179.99,58180.0,57480.0,57615.32,2283.571093,1616295599999,131982856.29604345,68914,1031.96878600,59651950.01712061,0,2021-03-21 02:00:00+00:00
1616295600000,57615.33,57856.42,57363.07,57790.0,1761.74702,1616299199999,101663371.52994261,74206,774.97245600,44722649.09867494,0,2021-03-21 03:00:00+00:00
1616299200000,57790.0,57797.45,56717.81,56909.83,3073.168352,1616302799999,175780313.09631984,86215,1400.08391000,80068414.86685879,0,2021-03-21 04:00:00+00:00
1616302800000,56911.99,57242.59,56856.66,57129.99,1641.059369,1616306399999,93655921.94588568,49850,822.28281100,46929002.35872647,0,2021-03-21 05:00:00+00:00
1616306400000,57130.0,57413.66,56668.0,57047.98,1874.113922,1616309999999,107040728.45689568,89964,901.11668200,51477799.54670575,0,2021-03-21 06:00:00+00:00
