timestamp,open,high,low,close,volume,tf
1615111200000,50961.29,51008.98,50510.00,50665.63,11074.6000,1h
1615114800000,50665.63,50931.00,50532.17,50745.34,8355.9740,1h
1615118400000,50745.73,50870.00,50445.00,50773.07,8946.2440,1h
1615122000000,50773.07,50900.00,50550.00,50785.15,6413.8840,1h
1615125600000,50785.14,51326.53,50162.23,50679.25,21698.5130,1h
1615129200000,50686.09,50872.61,50411.70,50618.66,8295.8360,1h
1615132800000,50618.65,51400.00,50618.65,51072.46,14218.2210,1h
1615136400000,51072.45,51164.17,50800.00,51115.59,7055.0310,1h
1615140000000,51115.58,51128.82,50406.27,50454.84,8836.4390,1h
1615143600000,50454.84,50620.39,50290.00,50414.38,8078.2950,1h
1615147200000,50413.53,50413.53,49800.00,50063.79,12986.7350,1h
1615150800000,50063.79,50302.95,49871.00,50100.00,6477.6720,1h
1615154400000,50100.01,50800.00,50010.00,50524.33,8611.1640,1h
1615158000000,50524.32,51480.00,50502.64,50995.27,12989.9890,1h
1615161600000,50991.35,51742.81,50872.04,51510.00,16340.9590,1h
1615165200000,51510.00,51870.36,51330.72,51586.00,9108.6010,1h
1615168800000,51583.89,51610.55,50522.00,50757.10,15267.1600,1h
1615172400000,50757.36,50823.30,50272.78,50625.98,12206.8830,1h
1615176000000,50625.97,50630.00,50125.00,50441.14,8336.6590,1h
1615179600000,50441.13,50813.00,50371.59,50766.30,8356.8160,1h
1615183200000,50766.30,50930.00,50184.49,50302.33,12549.5470,1h
1615186800000,50303.87,50450.00,49550.00,49783.97,18638.3690,1h
1615190400000,49787.39,49939.60,49310.00,49906.96,14649.1520,1h
1615194000000,49906.96,50138.85,49440.00,49928.00,14174.8800,1h
1615197600000,49928.00,50300.00,49723.00,50094.92,12706.0040,1h
1615201200000,50094.92,50609.40,49899.15,50529.08,13262.0400,1h
1615204800000,50529.09,50580.00,50150.99,50320.83,11355.5790,1h
1615208400000,50320.82,51117.08,50307.94,51016.21,20392.0830,1h
1615212000000,51016.21,51280.50,50158.98,50784.38,23151.1580,1h
1615215600000,50784.37,51250.00,50580.00,51082.65,14830.6530,1h
1615219200000,51083.03,51200.00,50600.00,50718.99,11667.6570,1h
1615222800000,50718.99,50919.38,50670.48,50854.64,5834.6600,1h
1615226400000,50854.64,51132.43,50797.40,50872.14,7161.3980,1h
1615230000000,50872.14,51550.00,50847.06,51370.07,12157.0730,1h
1615233600000,51372.12,52120.00,51301.00,51821.30,16569.2620,1h
1615237200000,51821.67,51980.00,51563.01,51889.85,10160.6450,1h
1615240800000,51889.86,51949.98,51334.71,51665.43,7839.9790,1h
1615244400000,51665.43,52450.00,51665.43,52429.43,11622.6490,1h
1615248000000,52429.43,52590.00,51880.00,52083.69,13096.6730,1h
1615251600000,52083.68,53822.00,52046.52,53638.46,26904.4120,1h
1615255200000,53638.46,53860.00,53300.00,53636.97,13026.1720,1h
1615258800000,53636.98,54188.49,53500.00,53877.22,14676.7610,1h
1615262400000,53876.30,54108.00,53537.23,53736.29,10928.0530,1h
1615266000000,53736.30,54483.65,53736.29,54285.64,12302.8620,1h
1615269600000,54285.64,54500.00,53780.01,53901.28,13066.4400,1h
1615273200000,53902.58,53945.00,53444.00,53602.41,12278.8650,1h
1615276800000,53602.41,54248.76,53322.85,54079.82,15925.7490,1h
1615280400000,54079.82,54348.99,53921.00,54158.74,10191.6950,1h
1615284000000,54158.74,54422.37,53950.28,54235.72,10808.0810,1h
1615287600000,54235.71,54362.39,53986.00,54299.99,8210.4660,1h
1615291200000,54300.00,54300.00,53621.00,53801.03,11446.6460,1h
1615294800000,53801.03,54844.78,53728.83,54812.39,18020.1270,1h
1615298400000,54812.40,54815.97,54407.40,54533.01,16178.6070,1h
1615302000000,54537.54,54561.22,53880.00,54127.61,12477.8830,1h
1615305600000,54127.61,54389.00,53801.01,54139.91,11547.1250,1h
1615309200000,54139.91,54320.00,53806.56,53845.57,6829.7850,1h
1615312800000,53845.57,54082.92,53653.00,53926.29,8352.6390,1h
1615316400000,53926.28,54277.09,53840.03,54143.10,7171.6770,1h
1615320000000,54143.11,54632.21,54083.26,54358.96,7479.9650,1h
1615323600000,54360.00,54569.00,53924.67,54343.58,7830.6310,1h
1615327200000,54343.57,54948.00,54180.00,54858.99,8768.1990,1h
1615330800000,54859.00,54950.00,54528.33,54917.78,8085.2850,1h
1615334400000,54917.78,55867.67,54800.00,55570.36,24992.0160,1h
1615338000000,55570.09,55890.00,54538.25,54733.70,16720.2240,1h
1615341600000,54733.70,54733.71,53311.61,54014.99,30737.2620,1h
1615345200000,54015.00,54200.00,53229.24,53557.15,15097.7750,1h
1615348800000,53557.14,53880.00,53408.94,53700.00,10227.7930,1h
1615352400000,53700.00,53737.37,53061.00,53696.32,10871.8440,1h
1615356000000,53696.32,54100.00,53561.24,53896.86,10236.0100,1h
1615359600000,53896.85,54441.63,53869.02,54190.90,8618.1370,1h
1615363200000,54202.10,54769.13,54076.47,54662.89,10858.9680,1h
1615366800000,54662.90,55518.36,54340.00,55282.48,17449.9790,1h
1615370400000,55282.48,55443.00,54761.00,54908.44,13041.5350,1h
1615374000000,54908.44,55055.00,54580.00,54924.75,11409.9820,1h
1615377600000,54927.99,55591.15,54899.75,55279.99,15329.3600,1h
1615381200000,55277.06,56437.95,55194.00,56336.37,24217.6020,1h
1615384800000,56336.37,56463.50,55830.00,56136.55,17937.4290,1h
1615388400000,56136.55,56592.18,56005.00,56373.52,16345.6150,1h
1615392000000,56374.82,57197.63,56152.32,57115.50,22551.1070,1h
1615395600000,57115.50,57220.00,56405.20,56933.32,20539.9620,1h
1615399200000,56933.32,57250.00,56623.80,56807.42,13962.9870,1h
1615402800000,56807.41,57500.92,56650.02,56831.08,18001.7350,1h
1615406400000,56824.98,56950.00,56110.20,56338.45,18935.0460,1h
1615410000000,56338.45,57140.00,55613.41,57002.56,22577.9610,1h
1615413600000,57003.62,57317.00,56579.07,56988.53,11738.4060,1h
1615417200000,56988.54,57032.53,55890.86,55947.98,18760.7580,1h
1615420800000,55949.30,56604.75,55565.01,55710.66,16141.7080,1h
1615424400000,55710.65,56050.00,55262.94,55863.47,14038.6710,1h
1615428000000,55863.48,56422.75,55732.18,56402.72,8795.6200,1h
1615431600000,56402.72,56564.81,55682.00,56083.22,9448.5220,1h
1615435200000,56083.22,56260.59,55711.00,55925.01,8368.5990,1h
1615438800000,55925.00,55925.00,55283.87,55365.80,9016.2900,1h
1615442400000,55365.80,55836.00,55100.00,55634.85,10317.9740,1h
1615446000000,55634.85,55861.00,55050.00,55105.50,10003.3160,1h
1615449600000,55105.51,55200.00,54356.44,54846.50,24352.9590,1h
1615453200000,54846.49,55028.70,54505.35,54558.70,12006.9520,1h
1615456800000,54558.07,55671.84,54499.00,55591.24,15228.7520,1h
1615460400000,55591.23,56338.00,55455.00,56284.27,17266.8670,1h
